test,Tool,rep_1,tool_2,rep_2,Fractional distance
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.19421487603305784
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.13636363636363635
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.16115702479338842
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.16942148760330578
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.16115702479338842
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.1487603305785124
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.13636363636363635
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.19834710743801653
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.15702479338842976
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.13636363636363635
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.15702479338842976
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.15702479338842976
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.1487603305785124
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.1446280991735537
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.15289256198347106
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.15289256198347106
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1487603305785124
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17355371900826447
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.04132231404958678
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2892561983471074
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.256198347107438
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.2024793388429752
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.16115702479338842
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.256198347107438
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.30578512396694213
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.15289256198347106
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.1446280991735537
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.29338842975206614
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.34297520661157027
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.371900826446281
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.256198347107438
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.3181818181818182
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.39669421487603307
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.36363636363636365
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.371900826446281
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.1859504132231405
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13636363636363635
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.128099173553719
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15289256198347106
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.028925619834710745
5 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.1652892561983471
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.15289256198347106
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.11983471074380166
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.10330578512396695
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.12396694214876033
5 fixed joint,FastML,repeat_1,GRASP,repeat_2,0.13636363636363635
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1652892561983471
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.1487603305785124
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.16942148760330578
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.13636363636363635
5 fixed joint,FastML,repeat_1,GRASP,repeat_3,0.11570247933884298
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.11983471074380166
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.09090909090909091
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.11983471074380166
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.14049586776859505
5 fixed joint,FastML,repeat_1,GRASP,repeat_4,0.12396694214876033
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.128099173553719
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1487603305785124
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1446280991735537
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1859504132231405
5 fixed joint,FastML,repeat_1,PAML,repeat_1,0.19421487603305784
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.16942148760330578
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.11983471074380166
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.1859504132231405
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.25206611570247933
5 fixed joint,FastML,repeat_1,PAML,repeat_2,0.11570247933884298
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.16942148760330578
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.21074380165289255
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.30578512396694213
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.34710743801652894
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.17768595041322313
