test,Tool,rep_1,tool_2,rep_2,Fractional distance
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15164835164835164
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15384615384615385
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.10989010989010989
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18021978021978022
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18461538461538463
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2571428571428571
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18461538461538463
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.26373626373626374
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18461538461538463
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11208791208791209
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17802197802197803
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1824175824175824
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12747252747252746
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.09010989010989011
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.01098901098901099
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1912087912087912
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12307692307692308
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.07692307692307693
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.035164835164835165
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11868131868131868
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.08791208791208792
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13846153846153847
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.09230769230769231
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11868131868131868
